,full_name,rating,jersey,team,position,b_day,height_in_m,weight_in_kg,salary,country,draft_year,draft_round,draft_peak,college,current_age,year_played,body_mass_index,bmi_class,attended_college
347,Kevin Porter,72,#4,Cleveland Cavaliers,G-F,5/4/2000,1.93,98.9,1290960,USA,2019,1,30,USC,20,1,26.6,Overweight,0
348,Ryan Broekhoff,72,#0,Philadelphia 76ers,F,8/23/1990,1.98,97.5,2833704,Australia,2013,0,0,Valparaiso,30,7,24.9,Normal,0
349,Goga Bitadze,72,#88,Indiana Pacers,C,7/20/1999,2.11,113.4,2816760,Georgia,2019,1,18,,21,1,25.5,Overweight,1
350,De'Anthony Melton,72,#0,Memphis Grizzlies,G,5/28/1998,1.88,86.2,1416852,USA,2018,2,46,USC,22,2,24.4,Normal,0
351,Kenrich Williams,72,#34,New Orleans Pelicans,G-F,12/2/1994,1.98,95.3,1416852,USA,2018,0,0,TCU,26,2,24.3,Normal,0
352,Nickeil Alexander-Walker,72,#0,New Orleans Pelicans,G,9/2/1998,1.96,93,2964840,Canada,2019,1,17,Virginia Tech,22,1,24.2,Normal,0
353,Chuma Okeke,72,#3,,F-C,8/18/1998,2.03,104,2773550,USA,2019,1,16,Auburn,22,1,25.2,Overweight,0
354,Matisse Thybulle,72,#22,Philadelphia 76ers,G-F,3/4/1997,1.96,91.2,2582160,USA,2019,1,20,Washington,24,2,23.7,Normal,0
355,Cameron Johnson,72,#23,Phoenix Suns,F,3/3/1996,2.03,95.3,4033440,USA,2019,1,11,North Carolina,25,2,23.1,Normal,0
356,Ty Jerome,72,#10,Phoenix Suns,G,7/8/1997,1.96,88.5,2193480,USA,2019,1,24,Virginia,23,1,23,Normal,0
357,Luka Samanic,72,#19,San Antonio Spurs,F,1/9/2000,2.08,94.8,2689920,Croatia,2019,1,19,,21,2,21.9,Normal,1
358,Keldon Johnson,72,#3,San Antonio Spurs,F,10/11/1999,1.96,95.7,1950600,USA,2019,1,29,Kentucky,21,1,24.9,Normal,0
359,Matt Thomas,72,#21,Toronto Raptors,G,8/4/1994,1.93,89.4,898310,USA,2017,0,0,Iowa State,26,3,24,Normal,0
360,Chris Boucher,71,#25,Toronto Raptors,F-C,1/11/1993,2.06,90.7,1588231,Canada,2017,0,0,Oregon,28,4,21.4,Normal,0
361,Jevon Carter,71,#4,Phoenix Suns,G,9/14/1995,1.85,90.7,1416852,USA,2018,2,32,West Virginia,25,2,26.5,Overweight,0
362,Deyonta Davis,71,#0,,F-C,12/2/1996,2.08,108.9,250000,USA,2016,2,31,Michigan State,24,4,25.2,Overweight,0
363,Jacob Evans,71,#0,Minnesota Timberwolves,G,6/18/1997,1.93,95.3,1925880,USA,2018,1,28,Cincinnati,23,2,25.6,Overweight,0
364,Terrance Ferguson,71,#23,Oklahoma City Thunder,G,5/17/1998,1.98,83.5,2475840,USA,2017,1,21,,22,3,21.3,Normal,1
365,Daniel Gafford,71,#12,Chicago Bulls,F,10/1/1998,2.08,106.1,898310,USA,2019,2,38,Arkansas,22,1,24.5,Normal,0
366,Treveon Graham,71,#12,Atlanta Hawks,G,10/28/1993,1.96,99.3,1645357,USA,2015,0,0,VCU,27,5,25.8,Overweight,0
367,Frank Jackson,71,#15,New Orleans Pelicans,G,5/4/1998,1.91,93,1618520,USA,2017,2,31,Duke,22,3,25.5,Overweight,0
368,Luke Kornet,71,#2,Chicago Bulls,C,7/15/1995,2.18,108.9,2250000,USA,2017,0,0,Vanderbilt,25,3,22.9,Normal,0
369,Frank Mason,71,#15,Milwaukee Bucks,G,4/13/1994,1.8,86.2,79568,USA,2017,2,34,Kansas,27,4,26.6,Overweight,0
370,Ben McLemore,71,#16,Houston Rockets,G,2/11/1993,1.91,85.7,2028594,USA,2013,1,7,Kansas,28,8,23.5,Normal,0
371,Dzanan Musa,71,#13,Brooklyn Nets,F,5/8/1999,2.06,88.5,1911600,Bosnia and Herzegovina,2018,1,29,,21,2,20.9,Normal,1
372,Elie Okobo,71,#2,Phoenix Suns,G,10/23/1997,1.91,86.2,1416852,France,2018,2,31,,23,2,23.6,Normal,1
373,Jerome Robinson,71,#1,Washington Wizards,G,2/22/1997,1.93,86.2,3567720,USA,2018,1,13,Boston College,24,3,23.1,Normal,0
374,JaKarr Sampson,71,#14,Indiana Pacers,F,3/20/1993,2.01,101.2,1737145,USA,2014,0,0,St. John's,28,7,25,Overweight,0
375,Edmond Sumner,71,#5,Indiana Pacers,G,12/13/1995,1.93,84.4,2000000,USA,2017,2,52,Xavier,25,3,22.7,Normal,0
376,Gary Trent Jr,71,#2,Portland Trail Blazers,G,1/18/1999,1.96,94.8,1416852,USA,2018,2,37,Duke,22,3,24.7,Normal,0
377,Moritz Wagner,71,#21,Washington Wizards,F,4/26/1997,2.11,108.9,2063520,Germany,2018,1,25,Michigan,23,2,24.5,Normal,0
378,Admiral Schofield,71,#1,Washington Wizards,F,3/30/1997,1.96,109.3,1000000,USA,2019,2,42,Tennessee,24,2,28.5,Overweight,0
379,Bruno Fernando,71,#24,Atlanta Hawks,F,8/15/1998,2.06,111.1,1400000,Angola,2019,2,34,Maryland,22,1,26.2,Overweight,0
380,Alen Smailagic,71,#6,Golden State Warriors,F,8/18/2000,2.08,97.5,898310,Serbia,2019,2,39,,20,1,22.5,Normal,1
381,Eric Paschall,71,#7,Golden State Warriors,F,11/4/1996,1.98,115.7,898310,USA,2019,2,41,Villanova,24,1,29.5,Overweight,0
382,Carsen Edwards,71,#4,Boston Celtics,G,3/12/1998,1.8,90.7,1228026,USA,2019,2,33,Purdue,23,2,28,Overweight,0
383,KZ Okpala,71,#4,Miami Heat,F,4/28/1999,2.03,97.5,898310,USA,2019,2,32,Stanford,21,1,23.7,Normal,0
384,Shake Milton,71,#18,Philadelphia 76ers,C,9/26/1996,1.96,93,1445697,USA,2018,2,54,SMU,24,2,24.2,Normal,0
385,Chimezie Metu,71,#7,San Antonio Spurs,F,3/22/1997,2.06,102.1,1416852,Nigeria,2018,2,49,USC,24,3,24.1,Normal,0
